Date,Total Cases,Total Death,New Cases,New Death
8/25/2019,5940.0,0.0,1299.0,0.0
8/26/2019,5562.0,1.0,1251.0,1.0
8/27/2019,5322.0,1.0,1299.0,0.0
8/28/2019,5222.0,1.0,1157.0,0.0
8/29/2019,5030.0,4.0,1189.0,3.0
8/30/2019,4697.0,4.0,1025.0,0.0
8/31/2019,4860.0,4.0,760.0,0.0
9/1/2019,4254.0,6.0,902.0,2.0
9/2/2019,3931.0,7.0,865.0,1.0
9/3/2019,3746.0,8.0,783.0,1.0
9/4/2019,3588.0,10.0,820.0,2.0
9/5/2019,3371.0,11.0,788.0,1.0
9/6/2019,3337.0,14.0,793.0,3.0
9/7/2019,3447.0,15.0,607.0,1.0
9/8/2019,3226.0,15.0,761.0,0.0
9/9/2019,3091.0,16.0,716.0,1.0
9/10/2019,3072.0,18.0,753.0,2.0
9/11/2019,3165.0,20.0,634.0,2.0
9/12/2019,3029.0,21.0,750.0,1.0
9/13/2019,2900.0,22.0,672.0,1.0
9/14/2019,2996.0,23.0,527.0,1.0
9/15/2019,2546.0,24.0,619.0,1.0
9/16/2019,2507.0,24.0,653.0,0.0
9/17/2019,2485.0,26.0,615.0,2.0
9/18/2019,2360.0,27.0,536.0,1.0
9/19/2019,2226.0,27.0,491.0,0.0
9/20/2019,2158.0,27.0,508.0,0.0
9/21/2019,2252.0,27.0,408.0,0.0
9/22/2019,2099.0,28.0,430.0,1.0
9/23/2019,2018.0,28.0,461.0,0.0
9/24/2019,1928.0,28.0,469.0,0.0
9/25/2019,1745.0,28.0,398.0,0.0
9/26/2019,1704.0,29.0,388.0,1.0
9/27/2019,1557.0,29.0,360.0,0.0
9/28/2019,1709.0,29.0,360.0,0.0
9/29/2019,1577.0,29.0,342.0,0.0
9/30/2019,1481.0,29.0,348.0,0.0
10/1/2019,1472.0,30.0,371.0,1.0
10/2/2019,1460.0,30.0,336.0,0.0
10/3/2019,1419.0,30.0,361.0,0.0
10/4/2019,1398.0,30.0,326.0,0.0
10/5/2019,1477.0,31.0,269.0,1.0
10/6/2019,1338.0,33.0,314.0,2.0
10/7/2019,1327.0,33.0,348.0,0.0
10/8/2019,1316.0,33.0,267.0,0.0
10/9/2019,1339.0,34.0,258.0,1.0
10/10/2019,1294.0,34.0,316.0,0.0
10/11/2019,1218.0,34.0,238.0,0.0
10/12/2019,1233.0,35.0,226.0,1.0
10/13/2019,1132.0,35.0,287.0,0.0
10/14/2019,1154.0,35.0,300.0,0.0
10/15/2019,1194.0,35.0,301.0,0.0
10/16/2019,1173.0,36.0,283.0,1.0
10/17/2019,1101.0,38.0,248.0,2.0
10/18/2019,1018.0,38.0,178.0,0.0
10/19/2019,1053.0,38.0,184.0,0.0
10/20/2019,974.0,39.0,229.0,1.0
10/21/2019,916.0,39.0,217.0,0.0
10/22/2019,938.0,39.0,222.0,0.0
10/23/2019,930.0,39.0,236.0,0.0
10/24/2019,942.0,39.0,210.0,0.0
10/25/2019,866.0,40.0,186.0,1.0
10/26/2019,952.0,40.0,203.0,0.0
10/27/2019,954.0,40.0,257.0,0.0
10/28/2019,913.0,40.0,251.0,0.0
10/29/2019,935.0,41.0,248.0,1.0
10/30/2019,963.0,41.0,263.0,0.0
10/31/2019,926.0,42.0,213.0,1.0
11/1/2019,909.0,42.0,215.0,0.0
11/2/2019,965.0,43.0,151.0,1.0
11/3/2019,900.0,,184.0,
11/4/2019,842.0,,174.0,
11/5/2019,814.0,,189.0,
11/6/2019,766.0,,184.0,
11/7/2019,752.0,,198.0,
11/8/2019,760.0,,149.0,
11/9/2019,796.0,,143.0,
11/10/2019,774.0,,118.0,
11/11/2019,755.0,,128.0,
11/12/2019,713.0,,157.0,
11/13/2019,680.0,,167.0,
11/14/2019,678.0,,150.0,
11/15/2019,623.0,,97.0,
11/16/2019,671.0,,136.0,
11/17/2019,654.0,,143.0,
11/18/2019,608.0,,120.0,
11/19/2019,577.0,,124.0,
11/20/2019,570.0,,117.0,
11/21/2019,565.0,,123.0,
11/22/2019,559.0,,100.0,
11/23/2019,565.0,,90.0,
11/24/2019,536.0,,92.0,
11/25/2019,537.0,,112.0,
11/26/2019,519.0,,98.0,
11/27/2019,505.0,,108.0,
11/28/2019,475.0,,85.0,
11/29/2019,451.0,,73.0,
11/30/2019,456.0,,86.0,
12/1/2019,425.0,,94.0,
12/2/2019,394.0,,81.0,
12/3/2019,383.0,,79.0,
12/4/2019,373.0,,75.0,
12/5/2019,385.0,,88.0,
12/6/2019,344.0,,43.0,
12/7/2019,342.0,,46.0,
12/8/2019,325.0,,62.0,
12/9/2019,301.0,,67.0,
12/10/2019,260.0,,50.0,
12/11/2019,243.0,,36.0,
12/12/2019,236.0,,51.0,
12/13/2019,220.0,,44.0,
12/14/2019,243.0,,42.0,
12/15/2019,226.0,,37.0,
12/16/2019,215.0,,25.0,
12/17/2019,211.0,,49.0,
12/18/2019,187.0,,37.0,
12/19/2019,170.0,,32.0,
12/20/2019,177.0,,29.0,
12/21/2019,162.0,,16.0,
12/22/2019,140.0,,19.0,
12/23/2019,127.0,,35.0,
12/24/2019,107.0,,12.0,
12/25/2019,97.0,,17.0,
12/26/2019,98.0,,24.0,
12/27/2019,102.0,,22.0,
12/28/2019,91.0,,10.0,
12/29/2019,74.0,,5.0,
12/30/2019,60.0,,10.0,
12/31/2019,51.0,,10.0,
1/1/2020,7.0,43.0,7.0,0.0
1/2/2020,22.0,43.0,15.0,0.0
1/3/2020,25.0,43.0,6.0,0.0
1/4/2020,43.0,43.0,21.0,0.0
1/5/2020,48.0,43.0,13.0,0.0
1/6/2020,45.0,43.0,10.0,0.0
1/7/2020,47.0,43.0,19.0,0.0
1/8/2020,44.0,43.0,5.0,0.0
1/9/2020,51.0,43.0,14.0,0.0
1/10/2020,50.0,43.0,6.0,0.0
1/11/2020,52.0,43.0,14.0,0.0
1/12/2020,42.0,43.0,3.0,0.0
1/13/2020,46.0,43.0,10.0,0.0
1/14/2020,43.0,43.0,3.0,0.0
1/15/2020,37.0,43.0,4.0,0.0
1/16/2020,29.0,43.0,0.0,0.0
1/17/2020,26.0,43.0,1.0,0.0
1/18/2020,26.0,43.0,3.0,0.0
1/19/2020,25.0,43.0,4.0,0.0
1/20/2020,23.0,43.0,2.0,0.0
1/21/2020,20.0,43.0,4.0,0.0
1/22/2020,14.0,43.0,2.0,0.0
1/23/2020,16.0,43.0,4.0,0.0
1/24/2020,16.0,43.0,1.0,0.0
1/25/2020,16.0,43.0,4.0,0.0
1/26/2020,11.0,43.0,2.0,0.0
1/27/2020,16.0,43.0,7.0,0.0
1/28/2020,18.0,43.0,6.0,0.0
1/29/2020,18.0,43.0,1.0,0.0
1/30/2020,14.0,43.0,4.0,0.0
1/31/2020,,,,
2/4/2021,5.0,43.0,2.0,0.0
12/13/2021,179.0,43.0,42.0,0.0
12/14/2021,180.0,43.0,40.0,0.0
12/15/2021,166.0,43.0,27.0,0.0
12/16/2021,160.0,43.0,17.0,0.0
12/17/2021,168.0,43.0,14.0,0.0
12/18/2021,164.0,43.0,28.0,0.0
12/19/2021,155.0,43.0,50.0,0.0
12/20/2021,134.0,43.0,39.0,0.0
12/21/2021,116.0,45.0,13.0,2.0
12/22/2021,114.0,46.0,70.0,1.0
12/23/2021,113.0,46.0,24.0,0.0
12/24/2021,102.0,46.0,7.0,0.0
12/25/2021,107.0,46.0,18.0,0.0
12/26/2021,90.0,46.0,9.0,0.0
12/27/2021,84.0,46.0,11.0,0.0
12/28/2021,78.0,46.0,15.0,0.0
12/29/2021,77.0,46.0,11.0,0.0
12/30/2021,63.0,47.0,31.0,1.0
12/31/2021,59.0,47.0,4.0,0.0
1/1/2022,52.0,47.0,4.0,0.0
1/2/2022,64.0,47.0,11.0,0.0
1/3/2022,62.0,47.0,29.0,0.0
1/4/2022,47.0,47.0,4.0,0.0
1/5/2022,48.0,47.0,4.0,0.0
1/6/2022,52.0,47.0,9.0,0.0
1/7/2022,52.0,47.0,1.0,0.0
1/8/2022,48.0,47.0,2.0,0.0
1/9/2022,43.0,47.0,7.0,0.0
1/10/2022,42.0,47.0,3.0,0.0
1/11/2022,43.0,47.0,3.0,0.0
1/12/2022,39.0,47.0,14.0,0.0
1/13/2022,35.0,47.0,3.0,0.0
1/14/2022,34.0,47.0,1.0,0.0
1/15/2022,35.0,47.0,5.0,0.0
1/16/2022,34.0,47.0,2.0,0.0
1/17/2022,32.0,47.0,2.0,0.0
1/18/2022,26.0,47.0,4.0,0.0
1/19/2022,28.0,47.0,7.0,0.0
1/20/2022,27.0,47.0,1.0,0.0
1/21/2022,23.0,47.0,0.0,0.0
1/22/2022,19.0,47.0,0.0,0.0
1/23/2022,15.0,47.0,2.0,0.0
1/24/2022,10.0,47.0,3.0,0.0
1/25/2022,10.0,47.0,1.0,0.0
1/26/2022,6.0,47.0,0.0,0.0
1/27/2022,5.0,47.0,1.0,0.0
1/28/2022,6.0,47.0,2.0,0.0
1/29/2022,5.0,47.0,0.0,0.0
1/30/2022,4.0,47.0,0.0,0.0
1/31/2022,2.0,47.0,1.0,0.0
2/1/2022,1.0,47.0,0.0,0.0
2/2/2022,3.0,47.0,2.0,0.0
2/3/2022,5.0,47.0,2.0,0.0
2/4/2022,5.0,47.0,0.0,0.0
2/5/2022,6.0,47.0,2.0,0.0
2/6/2022,4.0,47.0,1.0,0.0
2/7/2022,2.0,47.0,0.0,0.0
2/8/2022,2.0,47.0,0.0,0.0
2/9/2022,2.0,47.0,0.0,0.0
2/10/2022,1.0,47.0,0.0,0.0
2/11/2022,1.0,47.0,0.0,0.0
2/12/2022,6.0,47.0,5.0,0.0
2/13/2022,5.0,47.0,1.0,0.0
2/14/2022,7.0,47.0,2.0,0.0
2/15/2022,8.0,47.0,1.0,0.0
2/16/2022,6.0,47.0,0.0,0.0
2/17/2022,4.0,47.0,0.0,0.0
2/18/2022,4.0,47.0,0.0,0.0
2/19/2022,3.0,47.0,0.0,0.0
2/20/2022,3.0,47.0,0.0,0.0
2/21/2022,3.0,47.0,0.0,0.0
2/22/2022,1.0,47.0,1.0,0.0
2/23/2022,3.0,47.0,2.0,0.0
2/24/2022,3.0,47.0,0.0,0.0
2/25/2022,3.0,47.0,0.0,0.0
2/26/2022,3.0,47.0,0.0,0.0
2/27/2022,2.0,47.0,0.0,0.0
2/28/2022,2.0,47.0,0.0,0.0
3/1/2022,1.0,47.0,0.0,0.0
3/2/2022,2.0,47.0,1.0,0.0
3/3/2022,1.0,47.0,0.0,0.0
3/4/2022,1.0,47.0,0.0,0.0
3/5/2022,1.0,47.0,0.0,0.0
3/6/2022,3.0,47.0,3.0,0.0
3/7/2022,2.0,47.0,0.0,0.0
3/8/2022,2.0,47.0,0.0,0.0
3/9/2022,3.0,47.0,1.0,0.0
3/10/2022,4.0,47.0,1.0,0.0
3/11/2022,6.0,47.0,2.0,0.0
3/12/2022,6.0,47.0,0.0,0.0
3/13/2022,6.0,47.0,0.0,0.0
3/14/2022,6.0,47.0,0.0,0.0
3/15/2022,4.0,47.0,0.0,0.0
3/16/2022,5.0,47.0,1.0,0.0
3/17/2022,3.0,47.0,0.0,0.0
3/18/2022,3.0,47.0,0.0,0.0
3/19/2022,2.0,47.0,0.0,0.0
3/20/2022,2.0,47.0,0.0,0.0
3/21/2022,0.0,47.0,0.0,0.0
3/22/2022,0.0,47.0,0.0,0.0
3/23/2022,2.0,47.0,2.0,0.0
