,Date,Total Cases,Total Death,New Cases,New Death
0,2019-08-26,11502.0,1.0,2550.0,1.0
1,2019-09-02,33316.0,27.0,7197.0,6.0
2,2019-09-09,23806.0,89.0,5268.0,9.0
3,2019-09-16,20215.0,152.0,4608.0,8.0
4,2019-09-23,15598.0,190.0,3449.0,4.0
5,2019-09-30,11701.0,201.0,2665.0,1.0
6,2019-10-07,9891.0,217.0,2325.0,4.0
7,2019-10-14,8686.0,240.0,1892.0,2.0
8,2019-10-21,7429.0,263.0,1640.0,4.0
9,2019-10-28,6495.0,277.0,1565.0,1.0
10,2019-11-04,6440.0,209.0,1448.0,3.0
11,2019-11-11,5417.0,0.0,1109.0,0.0
12,2019-11-18,4627.0,0.0,970.0,0.0
13,2019-11-25,3909.0,0.0,758.0,0.0
14,2019-12-02,3225.0,0.0,625.0,0.0
15,2019-12-09,2453.0,0.0,460.0,0.0
16,2019-12-16,1643.0,0.0,285.0,0.0
17,2019-12-23,1174.0,0.0,217.0,0.0
18,2019-12-30,629.0,0.0,100.0,0.0
19,2020-01-06,241.0,258.0,82.0,0.0
20,2020-01-13,332.0,301.0,71.0,0.0
21,2020-01-20,209.0,301.0,17.0,0.0
22,2020-01-27,109.0,301.0,24.0,0.0
23,2020-02-03,50.0,129.0,11.0,0.0
24,2020-02-10,0.0,0.0,0.0,0.0
25,2020-02-17,0.0,0.0,0.0,0.0
26,2020-02-24,0.0,0.0,0.0,0.0
27,2020-03-02,0.0,0.0,0.0,0.0
28,2020-03-09,0.0,0.0,0.0,0.0
29,2020-03-16,0.0,0.0,0.0,0.0
30,2020-03-23,0.0,0.0,0.0,0.0
31,2020-03-30,0.0,0.0,0.0,0.0
32,2020-04-06,0.0,0.0,0.0,0.0
33,2020-04-13,0.0,0.0,0.0,0.0
34,2020-04-20,0.0,0.0,0.0,0.0
35,2020-04-27,0.0,0.0,0.0,0.0
36,2020-05-04,0.0,0.0,0.0,0.0
37,2020-05-11,0.0,0.0,0.0,0.0
38,2020-05-18,0.0,0.0,0.0,0.0
39,2020-05-25,0.0,0.0,0.0,0.0
40,2020-06-01,0.0,0.0,0.0,0.0
41,2020-06-08,0.0,0.0,0.0,0.0
42,2020-06-15,0.0,0.0,0.0,0.0
43,2020-06-22,0.0,0.0,0.0,0.0
44,2020-06-29,0.0,0.0,0.0,0.0
45,2020-07-06,0.0,0.0,0.0,0.0
46,2020-07-13,0.0,0.0,0.0,0.0
47,2020-07-20,0.0,0.0,0.0,0.0
48,2020-07-27,0.0,0.0,0.0,0.0
49,2020-08-03,0.0,0.0,0.0,0.0
50,2020-08-10,0.0,0.0,0.0,0.0
51,2020-08-17,0.0,0.0,0.0,0.0
52,2020-08-24,0.0,0.0,0.0,0.0
53,2020-08-31,0.0,0.0,0.0,0.0
54,2020-09-07,0.0,0.0,0.0,0.0
55,2020-09-14,0.0,0.0,0.0,0.0
56,2020-09-21,0.0,0.0,0.0,0.0
57,2020-09-28,0.0,0.0,0.0,0.0
58,2020-10-05,0.0,0.0,0.0,0.0
59,2020-10-12,0.0,0.0,0.0,0.0
60,2020-10-19,0.0,0.0,0.0,0.0
61,2020-10-26,0.0,0.0,0.0,0.0
62,2020-11-02,0.0,0.0,0.0,0.0
63,2020-11-09,0.0,0.0,0.0,0.0
64,2020-11-16,0.0,0.0,0.0,0.0
65,2020-11-23,0.0,0.0,0.0,0.0
66,2020-11-30,0.0,0.0,0.0,0.0
67,2020-12-07,0.0,0.0,0.0,0.0
68,2020-12-14,0.0,0.0,0.0,0.0
69,2020-12-21,0.0,0.0,0.0,0.0
70,2020-12-28,0.0,0.0,0.0,0.0
71,2021-01-04,0.0,0.0,0.0,0.0
72,2021-01-11,0.0,0.0,0.0,0.0
73,2021-01-18,0.0,0.0,0.0,0.0
74,2021-01-25,0.0,0.0,0.0,0.0
75,2021-02-01,0.0,0.0,0.0,0.0
76,2021-02-08,5.0,43.0,2.0,0.0
77,2021-02-15,0.0,0.0,0.0,0.0
78,2021-02-22,0.0,0.0,0.0,0.0
79,2021-03-01,0.0,0.0,0.0,0.0
80,2021-03-08,0.0,0.0,0.0,0.0
81,2021-03-15,0.0,0.0,0.0,0.0
82,2021-03-22,0.0,0.0,0.0,0.0
83,2021-03-29,0.0,0.0,0.0,0.0
84,2021-04-05,0.0,0.0,0.0,0.0
85,2021-04-12,0.0,0.0,0.0,0.0
86,2021-04-19,0.0,0.0,0.0,0.0
87,2021-04-26,0.0,0.0,0.0,0.0
88,2021-05-03,0.0,0.0,0.0,0.0
89,2021-05-10,0.0,0.0,0.0,0.0
90,2021-05-17,0.0,0.0,0.0,0.0
91,2021-05-24,0.0,0.0,0.0,0.0
92,2021-05-31,0.0,0.0,0.0,0.0
93,2021-06-07,0.0,0.0,0.0,0.0
94,2021-06-14,0.0,0.0,0.0,0.0
95,2021-06-21,0.0,0.0,0.0,0.0
96,2021-06-28,0.0,0.0,0.0,0.0
97,2021-07-05,0.0,0.0,0.0,0.0
98,2021-07-12,0.0,0.0,0.0,0.0
99,2021-07-19,0.0,0.0,0.0,0.0
100,2021-07-26,0.0,0.0,0.0,0.0
101,2021-08-02,0.0,0.0,0.0,0.0
102,2021-08-09,0.0,0.0,0.0,0.0
103,2021-08-16,0.0,0.0,0.0,0.0
104,2021-08-23,0.0,0.0,0.0,0.0
105,2021-08-30,0.0,0.0,0.0,0.0
106,2021-09-06,0.0,0.0,0.0,0.0
107,2021-09-13,0.0,0.0,0.0,0.0
108,2021-09-20,0.0,0.0,0.0,0.0
109,2021-09-27,0.0,0.0,0.0,0.0
110,2021-10-04,0.0,0.0,0.0,0.0
111,2021-10-11,0.0,0.0,0.0,0.0
112,2021-10-18,0.0,0.0,0.0,0.0
113,2021-10-25,0.0,0.0,0.0,0.0
114,2021-11-01,0.0,0.0,0.0,0.0
115,2021-11-08,0.0,0.0,0.0,0.0
116,2021-11-15,0.0,0.0,0.0,0.0
117,2021-11-22,0.0,0.0,0.0,0.0
118,2021-11-29,0.0,0.0,0.0,0.0
119,2021-12-06,0.0,0.0,0.0,0.0
120,2021-12-13,179.0,43.0,42.0,0.0
121,2021-12-20,1127.0,301.0,215.0,0.0
122,2021-12-27,726.0,321.0,152.0,3.0
123,2022-01-03,455.0,327.0,105.0,1.0
124,2022-01-10,332.0,329.0,30.0,0.0
125,2022-01-17,252.0,329.0,30.0,0.0
126,2022-01-24,148.0,329.0,17.0,0.0
127,2022-01-31,38.0,329.0,5.0,0.0
128,2022-02-07,26.0,329.0,7.0,0.0
129,2022-02-14,24.0,329.0,8.0,0.0
